what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556102700
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.findReplace",1389556102720
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556118930
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389556118940
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1389556123556
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556125262
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556125745
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389556127983
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1389556181573
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389556183016
started,bundle,org.eclipse.pde.core,3.9.0.v20130515-1659,"org.eclipse.pde.core",1389556197583
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556199188
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556199309
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389556204582
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1389556206905
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556208436
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556211601
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389556213475
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389556224188
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389556232422
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.Terminate",1389556238317
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556239267
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556240558
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389556262178
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556262992
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.findReplace",1389556263016
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389556278073
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389556278099
