what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1389828812198
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389828819703
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389828842108
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389828863704
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389828883688
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.findReplace",1389828883715
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389828887303
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389828887321
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1389828889348
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389828892738
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389828894389
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389828894461
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1389828895686
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389828897612
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389828964108
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389828967871
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389829011847
executed,command,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.edit.text.java.surround.with.try.catch",1389829018446
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389829036820
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389829097008
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389829098334
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389829099593
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389829123146
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1389829128322
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1389829129905
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389829132189
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389829133592
opened,view,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.VariableView",1389829133764
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389829133857
activated,perspective,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.DebugPerspective",1389829133868
opened,view,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.BreakpointView",1389829133936
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829137260
opened,editor,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1389829137521
activated,editor,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1389829137564
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139060
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139559
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139615
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139658
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139692
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139725
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139757
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139823
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139888
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139922
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829139955
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140021
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140081
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140092
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140155
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140251
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140315
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140380
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140446
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140514
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140577
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140615
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140648
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140681
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140747
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140780
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140813
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140846
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140879
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140946
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829140985
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141011
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141073
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141146
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141178
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141246
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141317
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141375
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141450
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141509
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141542
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141573
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141610
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141671
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141708
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141737
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141771
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141836
executed,command,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.commands.StepInto",1389829141872
