what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389845945863
started,bundle,org.eclipse.compare.core,3.5.300.v20130514-1224,"org.eclipse.compare.core",1389845969356
started,bundle,org.eclipse.compare,3.5.400.v20130514-1224,"org.eclipse.compare",1389845969372
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389845977045
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389845987327
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.text.contentAssist.proposals",1389846016566
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846150962
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846159260
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389846186670
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389846196924
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846214741
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846221491
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846223085
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846224476
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846228164
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389846245776
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846333890
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389846349752
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846485516
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846486313
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846486313
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389846487063
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389846489517
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389846494424
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.export",1389846494439
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389846495361
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389846496788
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847044170
activated,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389847047429
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.text.contentAssist.proposals",1389847055995
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847075772
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847093349
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1389847096739
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847110317
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847123876
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.text.contentAssist.proposals",1389847128630
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847180662
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847189332
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1389847272306
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847274842
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847279147
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.export",1389847279159
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389847279762
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389850651176
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852331655
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852334500
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852338094
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852338953
closed,view,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.PackageExplorer",1389852338969
closed,view,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui.DebugView",1389852338984
closed,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1389852339000
closed,view,org.eclipse.ui.views,3.6.100.v20130326-1250,"org.eclipse.ui.views.ContentOutline",1389852339016
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389852339031
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389852339047
closed,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852339125
closed,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389852339531
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20130508-1748,"org.eclipse.pde.api.tools.ui",1389852339656
stopped,bundle,org.eclipse.pde.ds.ui,1.0.300.v20130507-2057,"org.eclipse.pde.ds.ui",1389852339656
stopped,bundle,org.eclipse.pde.runtime,3.4.400.v20130402-1757,"org.eclipse.pde.runtime",1389852339656
stopped,bundle,org.eclipse.pde.ua.ui,1.0.300.v20130508-1926,"org.eclipse.pde.ua.ui",1389852339656
stopped,bundle,org.eclipse.pde.ui.templates,3.4.600.v20130507-2057,"org.eclipse.pde.ui.templates",1389852339656
stopped,bundle,org.eclipse.pde.ui,3.8.0.v20130515-1659,"org.eclipse.pde.ui",1389852339656
