what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.8.100.v20130513-1637,"org.eclipse.ui.editors",1389324933182
started,bundle,org.eclipse.ui.forms,3.6.0.v20130517-0139,"org.eclipse.ui.forms",1389324933182
started,bundle,org.eclipse.ui.ide,3.9.0.v20130517-0139,"org.eclipse.ui.ide",1389324933183
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1389324933184
started,bundle,org.eclipse.ui.trace,1.0.100.v20130508-1926,"org.eclipse.ui.trace",1389324933184
started,bundle,org.eclipse.ui.views,3.6.100.v20130326-1250,"org.eclipse.ui.views",1389324933185
started,bundle,org.eclipse.ui.views.log,1.0.400.v20130515-2009,"org.eclipse.ui.views.log",1389324933185
started,bundle,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"org.eclipse.ui.workbench",1389324933186
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.100.v20130514-1533,"org.eclipse.ui.workbench.texteditor",1389324933186
started,bundle,org.eclipse.update.configurator,3.3.200.v20130326-1319,"org.eclipse.update.configurator",1389324933187
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1389324933187
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1389324933188
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1389324933188
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1389324933188
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1389324933189
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1389324933189
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1389324933190
